Date,Portfolio Value
2012-04-19,4971.659613964948
2012-04-20,4996.648169053919
2012-04-23,4957.497285578693
2012-04-24,4986.025299245474
2012-04-25,5020.217719958007
2012-04-26,5063.897882032328
2012-04-27,5072.982654668085
2012-04-30,5067.353076703674
2012-05-01,5092.544988686915
2012-05-02,5088.422423876361
2012-05-03,5064.653261140512
2012-05-04,5000.103363725264
2012-05-07,4988.698524864818
2012-05-08,4959.384048071023
2012-05-09,4922.173481482014
2012-05-10,4929.835879376629
2012-05-11,4916.628167424068
2012-05-14,4868.595493701104
2012-05-15,4844.301273201411
2012-05-16,4831.473310587321
2012-05-17,4771.625339152861
2012-05-18,4743.587928674835
2012-05-21,4795.398246951219
2012-05-22,4794.757466755829
2012-05-23,4792.203708630541
2012-05-24,4805.088970701027
2012-05-25,4776.357600139975
2012-05-29,4824.624340269788
2012-05-30,4762.946905799394
2012-05-31,4752.818758748465
2012-06-01,4647.403862747354
2012-06-04,4640.842138724305
2012-06-05,4651.000995287813
2012-06-06,4761.002469344416
2012-06-07,4778.708375877243
2012-06-08,4814.465483706282
2012-06-11,4759.637394059671
2012-06-12,4821.981824163023
2012-06-13,4792.291717599516
2012-06-14,4851.936706645958
2012-06-15,4896.138181421614
2012-06-18,4886.416748159227
2012-06-19,4923.044208515493
2012-06-20,4918.081626184038
2012-06-21,4821.893815194047
2012-06-22,4847.668458903781
2012-06-25,4794.700167299432
2012-06-26,4806.975733193358
2012-06-27,4842.387546259012
2012-06-28,4832.896059834714
2012-06-29,4939.442339219972
2012-07-02,4936.10586303018
2012-07-03,4963.821198132382
2012-07-05,4945.800706348749
2012-07-06,4898.170626845566
2012-07-09,4884.295919260047
2012-07-10,4852.400719890896
2012-07-11,4833.766786868193
2012-07-12,4821.778467268752
2012-07-13,4899.942415918852
2012-07-16,4880.813760138633
2012-07-17,4910.852906528033
2012-07-18,4950.41424885431
2012-07-19,4963.706224713337
2012-07-20,4917.383921038502
2012-07-23,4878.608667332988
2012-07-24,4838.671695236999
2012-07-25,4861.194126663407
2012-07-26,4942.448875402669
2012-07-27,5014.442459061972
2012-07-30,5013.42604909687
2012-07-31,4988.755824321214
2012-08-01,4976.273156470509
2012-08-02,4938.978325975034
2012-08-03,5022.307839344608
2012-08-06,5030.491549940558
2012-08-07,5050.084218965715
2012-08-08,5052.784034528877
2012-08-09,5048.776817643618
2012-08-10,5065.174948348097
2012-08-13,5050.402549279031
2012-08-14,5051.44180412544
